,name,pref,review_score,review_num,status,url,address,lat,lon
112,のスた OSAKA,大阪府,79.42,61,営業,https://ramendb.supleks.jp/s/52093.html,〒542-0075 大阪府大阪市中央区難波千日前8-5,34.6637,135.50401000000002
113,泪橋 溝の口店,神奈川県,79.42,23,営業,https://ramendb.supleks.jp/s/73881.html,〒213-0001 神奈川県川崎市高津区溝口1-17-20,35.601269,139.613834
114,雷神 角ふじ,千葉県,79.38,54,営業,https://ramendb.supleks.jp/s/64128.html,〒260-0822 千葉県千葉市中央区蘇我3-1-10,35.569496,140.129614
115,麺屋みのわ,東京都,79.37,34,営業,https://ramendb.supleks.jp/s/78479.html,〒195-0054 東京都町田市三輪町314-5,35.578586,139.498751
119,僕との麺,埼玉県,79.36,31,営業,https://ramendb.supleks.jp/s/112958.html,〒333-0842 埼玉県川口市前川3-12-1 ピュア前川1F,35.839065000000005,139.710265
120,ら・けいこ,愛知県,79.35,66,営業,https://ramendb.supleks.jp/s/373.html,〒460-0008 愛知県名古屋市中区栄4-12-6 ロイヤル栄ビル1F,35.16734,136.911498
121,東池袋大勝軒 弁天店,埼玉県,79.31,49,営業,https://ramendb.supleks.jp/s/12421.html,埼玉県草加市弁天2-22-9滝沢ビル102,35.842644,139.815446
122,常勝軒 かすみがうら店,茨城県,79.26,91,営業,https://ramendb.supleks.jp/s/8125.html,〒315-0052 茨城県かすみがうら市下稲吉2632-11,36.126952,140.22906
123,ラーメン岩佐 2号店,神奈川県,79.23,47,営業,https://ramendb.supleks.jp/s/69467.html,神奈川県大和市下鶴間1550-5,35.510137,139.45095
124,らーめん大 蕨店,埼玉県,79.15,152,営業,https://ramendb.supleks.jp/s/13475.html,埼玉県川口市芝新町2-1,35.829278,139.68954
125,ラーメン 豚んち,神奈川県,79.11,37,営業,https://ramendb.supleks.jp/s/75334.html,神奈川県平塚市見附町1-31,35.329287,139.344952
126,麺屋 婆娑羅,東京都,79.1,174,営業,https://ramendb.supleks.jp/s/4195.html,〒145-0062 東京都大田区北千束3-23-8,35.606407,139.686375
127,野郎ラーメン 新橋駅前店,東京都,79.09,52,営業,https://ramendb.supleks.jp/s/71068.html,〒105-0004 東京都港区新橋2-9-7,35.666877,139.756959
128,山勝角ふじ 南流山店,千葉県,79.03,129,営業,https://ramendb.supleks.jp/s/16209.html,千葉県流山市南流山5-14-6,35.844075,139.898956
129,どてちんⅢ,千葉県,79.02,65,営業,https://ramendb.supleks.jp/s/26391.html,千葉県佐倉市井野1491-1,35.715986,140.128097
130,常勝軒 本庄店,埼玉県,79.0,123,営業,https://ramendb.supleks.jp/s/13774.html,埼玉県本庄市若泉3-4-4,36.248253000000005,139.18633799999998
131,らーめん大 高円寺店,東京都,78.99,54,営業,https://ramendb.supleks.jp/s/17741.html,〒166-0003 東京都杉並区高円寺南4-7-1 カトレアビル1F,35.703238,139.649812
132,麺屋 富味,群馬県,78.97,17,営業,https://ramendb.supleks.jp/s/105117.html,〒371-0046 群馬県前橋市川原町1-1-19,36.422634,139.047338
133,ラーメン大 下高井戸店,東京都,78.87,180,営業,https://ramendb.supleks.jp/s/16256.html,〒168-0073 東京都杉並区下高井戸1-3-10 アポー下高井戸1F,35.667253,139.640431
134,立川マシマシ OGKB店,東京都,78.84,29,営業,https://ramendb.supleks.jp/s/117171.html,〒167-0043 東京都杉並区上荻1-5-9 丸よしビル,35.705082,139.622089
135,麺や 久,東京都,78.77,16,営業,https://ramendb.supleks.jp/s/113409.html,〒103-0025 東京都中央区日本橋茅場町3-3-9,35.677892,139.777354
136,らーめん大 大久保店,東京都,78.68,170,営業,https://ramendb.supleks.jp/s/19681.html,〒169-0073 東京都新宿区百人町1-20-3 バラードハイム渡辺ビル103,35.700171000000005,139.69634299999998
137,中華そば・特製もりそば 満帆 伊勢崎店,群馬県,78.66,301,営業,https://ramendb.supleks.jp/s/4701.html,〒372-0803 群馬県伊勢崎市宮古町142-2,36.322713,139.154173
138,野郎ラーメン 秋葉原店,東京都,78.63,65,営業,https://ramendb.supleks.jp/s/58152.html,〒101-0021 東京都千代田区外神田3-2-11,35.700441,139.77023
142,ラーメン豚珍,栃木県,78.62,10,営業,https://ramendb.supleks.jp/s/116462.html,〒321-0954 栃木県宇都宮市元今泉4-2-10 元今泉ハイタウン1F,36.562328,139.90762
143,俺の麺 豚と鳥,茨城県,78.54,23,営業,https://ramendb.supleks.jp/s/85298.html,茨城県ひたちなか市勝田泉町2-8,36.393383,140.525386
144,伝家,埼玉県,78.42,140,営業,https://ramendb.supleks.jp/s/3398.html,〒359-0035 埼玉県所沢市西新井町20-10,35.794796999999996,139.47208500000002
145,つけ麺 白虎,静岡県,78.34,38,営業,https://ramendb.supleks.jp/s/33455.html,〒412-0042 静岡県御殿場市萩原44-2,35.313879,138.92533999999998
146,野郎ラーメン 恵比寿西口店,東京都,78.33,19,営業,https://ramendb.supleks.jp/s/71878.html,〒150-0021 東京都渋谷区恵比寿西1-7-5 篠崎ビル1F,35.647756,139.709038
147,つけめん・豚そば 活龍 牛久店,茨城県,78.29,95,営業,https://ramendb.supleks.jp/s/58158.html,茨城県牛久市神谷1-41-4,35.974225,140.15147199999998
148,ラーメンとりとん,東京都,78.25,47,営業,https://ramendb.supleks.jp/s/70627.html,東京都練馬区貫井3-6-3,35.735609000000004,139.628538
149,泪橋 西八幡店,神奈川県,78.2,24,営業,https://ramendb.supleks.jp/s/73102.html,〒254-0073 神奈川県平塚市西八幡1-1-27,35.338190999999995,139.350927
150,麺とび六方 茅野店,長野県,78.16,57,営業,https://ramendb.supleks.jp/s/51896.html,長野県茅野市宮川4236-2,35.988371,138.150018
151,ラーメンこじろう 526 武蔵小杉店,神奈川県,78.12,48,営業,https://ramendb.supleks.jp/s/32095.html,〒211-0002 神奈川県川崎市中原区上丸子山王町1-1401,35.57737,139.66581000000002
152,豪麺MARUKO,東京都,78.1,42,営業,https://ramendb.supleks.jp/s/68909.html,東京都葛飾区東金町1-21-1,35.770016,139.869085
153,ラーメン ヒカリ,栃木県,78.09,24,営業,https://ramendb.supleks.jp/s/111445.html,〒323-0811 栃木県小山市犬塚8-9-5,36.299569,139.83048300000002
154,野郎ラーメン 錦糸町店,東京都,78.06,24,営業,https://ramendb.supleks.jp/s/73179.html,〒130-0022 東京都墨田区江東橋3-8-12 KINSIA ANNEX1F,35.694982,139.81483899999998
155,麺 五六,神奈川県,77.97,28,営業,https://ramendb.supleks.jp/s/100238.html,〒210-0853 神奈川県川崎市川崎区田島町12-6,35.515978999999994,139.708136
156,ラーメン豚五里羅Ⅲ 信州旅情編,長野県,77.95,23,営業,https://ramendb.supleks.jp/s/101000.html,〒388-8004 長野県長野市篠ノ井会5-22,36.575479,138.14577
157,麺絆や 519,東京都,77.92,161,営業,https://ramendb.supleks.jp/s/15656.html,〒136-0071 東京都江東区亀戸2-14-6,35.69852,139.823283
